donor_id,in_study,model_score,diff_efficiency
HPSI0613i-nukw_1,not_assessed,0.881069125,NA
HPSI0613i-oefg_2,not_assessed,0.27831574,NA
HPSI0613i-oesx_3,not_assessed,1.52E-06,NA
HPSI0613i-oomz_2,not_assessed,0.000275111,NA
HPSI0613i-oomz_22,failed,0.101955086,0.093204775
HPSI0613i-qanu_1,not_assessed,0.993229569,NA
HPSI0613i-qanu_2,not_assessed,0.256459385,NA
HPSI0613i-qony_1,succeeded,0.999174295,0.655263158
HPSI0613i-qony_2,not_assessed,0.125047377,NA
HPSI0613i-riiv_1,not_assessed,0.580876975,NA
HPSI0613i-riiv_3,not_assessed,0.041636755,NA
HPSI0613i-ueah_1,not_assessed,0.761889494,NA
HPSI0613i-ueah_4,not_assessed,0.845578548,NA
HPSI0613i-vorx_1,not_assessed,0.028879383,NA
HPSI0613i-vorx_3,not_assessed,0.373574687,NA
HPSI0613i-xavk_3,succeeded,0.993696276,0.906976744
HPSI0613i-xosg_2,not_assessed,0.92862203,NA
HPSI0613i-xucm_3,not_assessed,0.945161086,NA
HPSI0613i-zisa_3,not_assessed,0.916905093,NA
HPSI0613i-zisa_33,not_assessed,0.995126122,NA
HPSI0614i-ciwj_1,not_assessed,0.278357082,NA
HPSI0614i-ciwj_2,not_assessed,0.45642842,NA
HPSI0614i-denw_6,not_assessed,0.093999086,NA
HPSI0614i-dixh_2,not_assessed,0.851682854,NA
HPSI0614i-eavo_1,not_assessed,0.979559015,NA
HPSI0614i-eisk_3,not_assessed,0.94077926,NA
HPSI0614i-eisk_6,not_assessed,0.989400344,NA
HPSI0614i-fovu_2,not_assessed,0.437075357,NA
HPSI0614i-fovu_5,not_assessed,0.99476037,NA
HPSI0614i-foyj_1,not_assessed,0.791764731,NA
HPSI0614i-gawh_12,not_assessed,0.963120119,NA
HPSI0614i-gawh_7,not_assessed,0.991452614,NA
HPSI0614i-guyj_2,not_assessed,0.81482981,NA
HPSI0614i-juzt_4,failed,6.23E-05,0.098971093
HPSI0614i-kecw_3,not_assessed,0.989339511,NA
HPSI0614i-kecw_4,not_assessed,0.984073402,NA
HPSI0614i-kegd_2,not_assessed,0.997087724,NA
HPSI0614i-koqx_1,not_assessed,0.926631401,NA
HPSI0614i-laig_1,not_assessed,0.88731696,NA
HPSI0614i-laig_2,not_assessed,0.895869874,NA
HPSI0614i-lepk_1,not_assessed,0.896190601,NA
HPSI0614i-lepk_4,not_assessed,0.985994679,NA
HPSI0614i-lipl_2,not_assessed,7.51E-05,NA
HPSI0614i-lipl_5,not_assessed,1.06E-05,NA
HPSI0614i-liqa_1,succeeded,0.980260733,0.555236729
HPSI0614i-liqa_6,not_assessed,0.965708428,NA
HPSI0614i-lirf_5,failed,0.132054668,0.060419236
HPSI0614i-lirf_6,not_assessed,0.100327224,NA
HPSI0614i-mesr_4,not_assessed,0.0005256,NA
HPSI0614i-miaj_4,failed,0.002789315,0.045362221
HPSI0614i-miaj_6,not_assessed,0.982313017,NA
HPSI0614i-oicx_2,succeeded,0.932262405,0.364285714
HPSI0614i-oicx_6,not_assessed,0.949588038,NA
HPSI0614i-paab_3,failed,0.081917953,0
HPSI0614i-paab_4,not_assessed,0.748642766,NA
HPSI0614i-puhk_2,failed,4.03E-05,0.043523859
HPSI0614i-puhk_5,not_assessed,0.557329395,NA
HPSI0614i-qunz_2,succeeded,0.985872536,0.461988304
HPSI0614i-qunz_3,not_assessed,0.992624545,NA
HPSI0614i-uevq_4,not_assessed,0.412423677,NA
HPSI0614i-uevq_6,failed,0.088164842,0.054662379
HPSI0614i-uilk_2,not_assessed,0.872932081,NA
HPSI0614i-voce_1,failed,0.055864126,0.134
HPSI0614i-voce_2,not_assessed,6.91E-05,NA
HPSI0614i-voxu_1,not_assessed,0.723864171,NA
HPSI0614i-voxu_2,not_assessed,0.115093743,NA
HPSI0614i-wihj_4,succeeded,0.989666097,0.723308271
HPSI0614i-xubw_1,not_assessed,0.967344901,NA
HPSI0614i-xubw_3,not_assessed,0.980823945,NA
HPSI0614i-zoio_1,not_assessed,0.992925839,NA
HPSI0614i-zoio_2,not_assessed,0.967759923,NA
HPSI0616i-aauq_1,not_assessed,0.966614809,NA
HPSI0616i-aauq_2,not_assessed,0.966981378,NA
HPSI0616i-baxr_5,not_assessed,0.999439845,NA
HPSI0616i-beyk_2,not_assessed,0.587080117,NA
HPSI0616i-beyk_6,not_assessed,0.568608638,NA
HPSI0616i-biln_1,not_assessed,6.15E-05,NA
HPSI0616i-biln_2,not_assessed,0.32050415,NA
HPSI0616i-bury_5,not_assessed,0.718816489,NA
HPSI0616i-bury_6,not_assessed,0.786351666,NA
HPSI0616i-duve_2,not_assessed,0.738521642,NA
HPSI0616i-duve_6,not_assessed,0.724299649,NA
HPSI0616i-eomr_5,not_assessed,0.981298964,NA
HPSI0616i-euia_7,not_assessed,0.002460145,NA
HPSI0616i-fayz_2,not_assessed,0.579295891,NA
HPSI0616i-fayz_5,not_assessed,0.985331313,NA
HPSI0616i-gayk_3,not_assessed,0.859389536,NA
HPSI0616i-gayk_5,not_assessed,0.617938505,NA
HPSI0616i-giql_1,not_assessed,0.921206105,NA
HPSI0616i-giql_5,not_assessed,0.949168214,NA
HPSI0616i-heba_11,not_assessed,0.37439822,NA
HPSI0616i-heba_9,not_assessed,0.428092408,NA
HPSI0616i-iuse_5,not_assessed,0.560070216,NA
HPSI0616i-iuse_6,not_assessed,0.892096332,NA
HPSI0616i-kalo_6,not_assessed,0.973451729,NA
HPSI0616i-kayf_5,not_assessed,0.670257636,NA
HPSI0616i-kayf_6,not_assessed,0.709945411,NA
HPSI0616i-kulz_3,not_assessed,0.907324943,NA
HPSI0616i-kulz_6,not_assessed,0.945781936,NA
HPSI0616i-mesv_4,not_assessed,0.321577462,NA
HPSI0616i-mesv_5,not_assessed,0.787691239,NA
HPSI0616i-mifg_2,not_assessed,0.752794056,NA
HPSI0616i-mifg_5,not_assessed,0.754296391,NA
HPSI0616i-newl_6,not_assessed,0.939597325,NA
HPSI0616i-oajt_3,not_assessed,0.978470133,NA
HPSI0616i-oajt_6,not_assessed,0.933367457,NA
HPSI0616i-rily_1,not_assessed,1.14E-05,NA
HPSI0616i-rily_3,not_assessed,0.424593494,NA
HPSI0616i-rurd_3,not_assessed,0.925467748,NA
HPSI0616i-uegn_1,not_assessed,4.49E-06,NA
HPSI0616i-uegn_3,not_assessed,0.754776208,NA
HPSI0616i-uofs_2,not_assessed,0.413420857,NA
HPSI0616i-uofs_5,not_assessed,0.979066677,NA
HPSI0616i-vaqr_4,not_assessed,0.01622364,NA
HPSI0616i-vaqx_2,not_assessed,0.970859252,NA
HPSI0616i-xuvy_6,not_assessed,0.69722235,NA
HPSI0713i-aehn_2,not_assessed,0.655047099,NA
HPSI0713i-aehn_22,succeeded,0.979504953,0.921104536
HPSI0713i-dard_1,not_assessed,0.993125656,NA
HPSI0713i-dard_2,not_assessed,0.103643827,NA
HPSI0713i-darw_1,not_assessed,0.635430948,NA
HPSI0713i-darw_2,not_assessed,0.004513677,NA
HPSI0713i-fett_3,not_assessed,0.177681568,NA
HPSI0713i-foop_1,not_assessed,0.934317984,NA
HPSI0713i-foop_2,not_assessed,0.996251072,NA
HPSI0713i-kaks_2,not_assessed,0.866328026,NA
HPSI0713i-kaks_3,not_assessed,0.895732552,NA
HPSI0713i-nemb_1,not_assessed,0.997233209,NA
HPSI0713i-nocf_2,not_assessed,0.845428048,NA
HPSI0713i-pusf_3,not_assessed,0.720102142,NA
HPSI0713i-qimz_1,not_assessed,0.64210728,NA
HPSI0713i-qimz_2,not_assessed,0.148817449,NA
HPSI0713i-ruyv_1,not_assessed,0.482545188,NA
HPSI0713i-ruyv_3,not_assessed,0.187671012,NA
HPSI0713i-terl_1,not_assessed,0.975625572,NA
HPSI0713i-terl_2,not_assessed,0.97238965,NA
HPSI0713i-uimo_1,not_assessed,0.980658032,NA
HPSI0713i-veku_2,not_assessed,0.717829058,NA
HPSI0713i-wiol_1,not_assessed,0.605711781,NA
HPSI0714i-burb_1,failed,0.069708995,0.107205048
HPSI0714i-burb_3,not_assessed,0.042696343,NA
HPSI0714i-fasu_2,not_assessed,0.027067609,NA
HPSI0714i-gibe_2,not_assessed,0.96752417,NA
HPSI0714i-iudw_1,succeeded,0.999166601,0.320661157
HPSI0714i-iudw_4,not_assessed,0.997531357,NA
HPSI0714i-keui_1,not_assessed,0.751872193,NA
HPSI0714i-keui_4,failed,1.21E-05,0.069641295
HPSI0714i-kute_4,not_assessed,0.001246014,NA
HPSI0714i-kute_5,succeeded,0.983269293,0.446299771
HPSI0714i-lutt_6,not_assessed,0.97947657,NA
HPSI0714i-meet_3,not_assessed,0.98722997,NA
HPSI0714i-mejk_1,not_assessed,0.988995999,NA
HPSI0714i-mitg_4,not_assessed,0.990862648,NA
HPSI0714i-nufh_3,not_assessed,0.860018668,NA
HPSI0714i-nufh_4,not_assessed,8.92E-06,NA
HPSI0714i-oatm_1,failed,0.098061235,0.085365854
HPSI0714i-oatm_2,not_assessed,0.002702392,NA
HPSI0714i-oebj_1,not_assessed,0.673054595,NA
HPSI0714i-oojs_1,not_assessed,0.836931127,NA
HPSI0714i-ouzk_4,not_assessed,0.78061321,NA
HPSI0714i-ouzk_5,not_assessed,0.844410382,NA
HPSI0714i-pipw_4,succeeded,0.974004121,0.669449082
HPSI0714i-pipw_5,not_assessed,0.919317348,NA
HPSI0714i-pirs_1,not_assessed,0.014815701,NA
HPSI0714i-riya_2,not_assessed,0.349713734,NA
HPSI0714i-tosj_3,not_assessed,0.098146923,NA
HPSI0714i-tosj_4,not_assessed,0.943268584,NA
HPSI0714i-xebt_2,not_assessed,0.889193133,NA
HPSI0714i-xiry_1,not_assessed,0.946484308,NA
HPSI0714i-xiry_5,not_assessed,0.025792345,NA
HPSI0714i-zaos_1,not_assessed,0.971061411,NA
HPSI0715i-aowh_2,succeeded,0.9820035,0.620823295
HPSI0715i-meue_4,not_assessed,0.973481986,NA
HPSI0715i-meue_5,succeeded,0.976327967,0.731886833
HPSI0715i-zaie_1,not_assessed,0.979327791,NA
HPSI0715i-zaie_5,succeeded,0.996063897,0.621375311
HPSI0716i-bakv_4,not_assessed,0.947650229,NA
HPSI0716i-bakv_6,not_assessed,0.945775273,NA
HPSI0716i-toba_1,not_assessed,0.987255824,NA
HPSI0716i-yibs_1,not_assessed,0.949251494,NA
HPSI0716i-yibs_3,not_assessed,0.485586326,NA
HPSI0716i-yipp_2,not_assessed,0.958658626,NA
HPSI0716i-yipp_6,not_assessed,0.86883479,NA
HPSI0813i-aizi_1,not_assessed,0.983460426,NA
HPSI0813i-aizi_3,succeeded,0.990812854,0.952380952
HPSI0813i-civh_3,not_assessed,0.424252962,NA
HPSI0813i-ffdc_1,succeeded,0.973238045,0.756756757
HPSI0813i-ffdc_11,not_assessed,0.995311697,NA
HPSI0813i-ffdj_1,not_assessed,0.763333072,NA
HPSI0813i-ffdk_3,not_assessed,0.922706537,NA
HPSI0813i-ffdm_3,not_assessed,0.962380428,NA
HPSI0813i-ffdr_3,not_assessed,0.83915947,NA
HPSI0813i-fpdj_3,not_assessed,0.809153209,NA
HPSI0813i-fpdk_2,not_assessed,0.998805407,NA
HPSI0813i-fpdl_2,not_assessed,0.363890247,NA
HPSI0813i-fpdm_2,not_assessed,0.683924729,NA
HPSI0813i-fpdr_2,not_assessed,0.894427422,NA
HPSI0813i-guss_1,failed,0.001873785,0.024828767
HPSI0813i-iicq_3,not_assessed,0.877064942,NA
HPSI0813i-iill_1,not_assessed,0.919527058,NA
HPSI0813i-iill_3,succeeded,0.947926387,0.547619048
HPSI0813i-meqo_2,not_assessed,0.99438708,NA
HPSI0813i-meqo_3,not_assessed,0.591172001,NA
HPSI0813i-mioj_1,succeeded,0.947760998,0.492318685
HPSI0813i-mioj_4,not_assessed,0.903280468,NA
HPSI0813i-peoj_1,succeeded,0.98354233,0.812244898
HPSI0813i-piun_3,not_assessed,0.915153672,NA
HPSI0813i-robp_3,not_assessed,0.965981147,NA
HPSI0813i-uaqe_1,succeeded,0.96515237,0.598574822
HPSI0813i-vajx_2,failed,0.068664195,0.031055901
HPSI0813i-voas_2,not_assessed,0.471756668,NA
HPSI0813i-wots_3,succeeded,0.987929679,0.695517774
HPSI0813i-zexw_3,succeeded,0.967674103,0.847510373
HPSI0814i-bokz_5,not_assessed,0.990009465,NA
HPSI0814i-bokz_6,succeeded,0.966656143,0.846774194
HPSI0814i-doao_1,succeeded,0.967573594,0.588235294
HPSI0814i-doao_2,not_assessed,0.96585749,NA
HPSI0814i-siqu_11,not_assessed,0.015524721,NA
HPSI0814i-siqu_4,succeeded,0.93519249,0.785553047
HPSI0816i-aorf_1,not_assessed,0.99327645,NA
HPSI0816i-aorf_2,not_assessed,0.925408706,NA
HPSI0816i-daah_1,not_assessed,0.957561281,NA
HPSI0816i-daah_6,not_assessed,0.607062997,NA
HPSI0816i-fuuy_3,not_assessed,0.993282274,NA
HPSI0816i-keha_2,not_assessed,0.901071655,NA
HPSI0816i-keha_5,not_assessed,0.98325839,NA
HPSI0816i-keit_1,not_assessed,0.900487852,NA
HPSI0816i-keit_2,not_assessed,0.962944657,NA
HPSI0816i-kije_1,not_assessed,2.34E-05,NA
HPSI0816i-kije_4,not_assessed,0.096138908,NA
HPSI0816i-neow_5,not_assessed,0.414100684,NA
HPSI0816i-neow_7,not_assessed,0.874143919,NA
HPSI0816i-oemk_6,not_assessed,0.999240739,NA
HPSI0816i-oexh_2,not_assessed,0.946947653,NA
HPSI0816i-oexh_5,not_assessed,0.980235237,NA
HPSI0816i-uixy_1,not_assessed,0.000316732,NA
HPSI0816i-uixy_2,not_assessed,0.004366214,NA
HPSI0816i-uosa_6,not_assessed,2.10E-05,NA
HPSI0816i-xoga_12,not_assessed,0.983029991,NA
HPSI0816i-youd_6,not_assessed,0.980562572,NA
HPSI0816i-youd_8,not_assessed,0.934831203,NA
HPSI0913i-bulb_1,not_assessed,0.983978518,NA
HPSI0913i-coyi_3,not_assessed,0.989876439,NA
HPSI0913i-diku_1,not_assessed,0.397129585,NA
HPSI0913i-eika_2,succeeded,0.9618808,0.538461538
HPSI0913i-ffdl_1,not_assessed,0.059653208,NA
HPSI0913i-ffdz_2,not_assessed,0.155092488,NA
HPSI0913i-gedo_3,not_assessed,0.281786478,NA
HPSI0913i-gedo_33,not_assessed,0.775541912,NA
HPSI0913i-gooj_1,not_assessed,0.933143865,NA
HPSI0913i-iuqb_1,succeeded,0.969809473,0.467912266
HPSI0913i-lise_1,failed,0.067385105,0.106382979
HPSI0913i-lise_3,not_assessed,6.89E-05,NA
HPSI0913i-lofv_3,not_assessed,0.165768125,NA
HPSI0913i-oapg_5,not_assessed,0.924167668,NA
HPSI0913i-rufg_3,not_assessed,0.952764397,NA
HPSI0913i-rufg_4,not_assessed,0.909496069,NA
HPSI0913i-ruql_3,succeeded,0.995361692,0.852257182
HPSI0914i-euts_3,succeeded,0.967144116,0.76433121
HPSI0914i-fuhz_1,not_assessed,0.98399828,NA
HPSI0914i-gine_2,not_assessed,0.539635269,NA
HPSI0914i-hidy_4,not_assessed,0.446890177,NA
HPSI0914i-iezw_2,failed,0.095891097,0.185086551
HPSI0914i-jejf_2,succeeded,0.978900834,0.84516129
HPSI0914i-jejf_3,not_assessed,0.98236216,NA
HPSI0914i-kajh_2,succeeded,0.954543447,0.724409449
HPSI0914i-kajh_3,not_assessed,0.752075169,NA
HPSI0914i-laey_4,not_assessed,0.999409262,NA
HPSI0914i-laey_6,succeeded,0.967777633,0.575371468
HPSI0914i-ouvb_2,succeeded,0.999539706,0.616700659
HPSI0914i-qehq_3,not_assessed,0.3709118,NA
HPSI0914i-qehq_7,not_assessed,0.664692492,NA
HPSI0914i-rejf_2,failed,0.028352662,0.036082474
HPSI0914i-suop_2,not_assessed,0.88353987,NA
HPSI0914i-suop_5,succeeded,0.975198989,0.855403349
HPSI0914i-tifo_1,not_assessed,0.880338426,NA
HPSI0914i-tifo_2,not_assessed,0.716940669,NA
HPSI0914i-vaka_5,succeeded,0.922662723,0.466886425
HPSI0914i-verf_1,not_assessed,0.988116847,NA
HPSI0914i-yuvg_2,succeeded,0.95646232,0.613956026
HPSI0914i-zerv_7,succeeded,0.966969647,0.492794778
HPSI0914i-zerv_8,not_assessed,0.794578151,NA
HPSI0916i-helh_1,not_assessed,0.997628816,NA
HPSI0916i-helh_6,not_assessed,0.90021952,NA
HPSI0916i-hikt_1,not_assessed,8.06E-06,NA
HPSI0916i-hikt_2,not_assessed,0.000284497,NA
HPSI0916i-jejm_4,not_assessed,0.526070712,NA
HPSI0916i-moyn_1,not_assessed,1.72E-05,NA
HPSI0916i-moyn_4,not_assessed,1.42E-05,NA
HPSI0916i-vajy_4,not_assessed,0.001082787,NA
HPSI0916i-vajy_5,not_assessed,0.726886628,NA
HPSI0916i-vorn_2,not_assessed,0.245026838,NA
HPSI0916i-vorn_5,not_assessed,0.683712116,NA
HPSI0916i-zaue_2,not_assessed,0.981102501,NA
HPSI0916i-zipi_1,not_assessed,4.43E-06,NA
HPSI0916i-zipi_5,not_assessed,0.594236365,NA
HPSI1013i-aetc_1,not_assessed,0.682624034,NA
HPSI1013i-funy_1,not_assessed,0.938964642,NA
HPSI1013i-garx_2,failed,0.115203203,0.173931808
HPSI1013i-hiaf_1,succeeded,0.964941336,0.466217356
HPSI1013i-hiaf_2,not_assessed,0.995688043,NA
HPSI1013i-jogf_2,failed,0.000522907,0.030952381
HPSI1013i-jufd_2,not_assessed,1.12E-05,NA
HPSI1013i-jufd_3,failed,0.063669456,0.114285714
HPSI1013i-kuxp_1,succeeded,0.985199961,0.925233645
HPSI1013i-mijn_2,not_assessed,0.965136148,NA
HPSI1013i-pamv_1,not_assessed,0.706519642,NA
HPSI1013i-pamv_3,not_assessed,0.995130695,NA
HPSI1013i-sebz_1,not_assessed,0.999780304,NA
HPSI1013i-sita_1,failed,2.13E-05,0.029717682
HPSI1013i-wopl_1,not_assessed,0.000362633,NA
HPSI1013i-wuye_2,not_assessed,0.894542361,NA
HPSI1013i-wuye_3,not_assessed,0.987077094,NA
HPSI1013i-yemz_1,not_assessed,0.635876908,NA
HPSI1013i-yemz_3,not_assessed,0.846887027,NA
HPSI1013i-zagm_1,succeeded,0.982827466,0.777777778
HPSI1014i-babz_3,succeeded,0.987136084,0.724628583
HPSI1014i-bilx_1,failed,0.038598756,0.038461538
HPSI1014i-bilx_2,not_assessed,0.089414242,NA
HPSI1014i-eesb_1,succeeded,0.970732597,0.540819943
HPSI1014i-juuy_2,not_assessed,0.019195144,NA
HPSI1014i-kefb_1,failed,0.073994119,0.055555556
HPSI1014i-nosn_1,succeeded,0.942065734,0.435950413
HPSI1014i-nosn_6,not_assessed,0.965541739,NA
HPSI1014i-qayj_3,not_assessed,0.965288354,NA
HPSI1014i-qayj_4,succeeded,0.987201435,0.826193059
HPSI1014i-quls_2,failed,6.50E-06,0.014737724
HPSI1014i-riun_1,not_assessed,0.017519443,NA
HPSI1014i-roug_3,succeeded,0.977656518,0.864575298
HPSI1014i-sehl_6,succeeded,0.996331829,0.86508853
HPSI1014i-tixi_4,succeeded,0.987610575,0.339779006
HPSI1014i-toss_3,not_assessed,0.919963543,NA
HPSI1014i-tuju_1,failed,0.057328858,0.016209476
HPSI1014i-tuju_4,not_assessed,0.328511637,NA
HPSI1014i-vils_1,succeeded,0.982040409,0.303932584
HPSI1014i-xejd_1,not_assessed,0.809678019,NA
HPSI1014i-xiyh_4,not_assessed,0.879320434,NA
HPSI1113i-bima_1,succeeded,0.981440074,0.36996337
HPSI1113i-bima_2,not_assessed,0.989767631,NA
HPSI1113i-dons_1,not_assessed,0.938688252,NA
HPSI1113i-eofe_1,not_assessed,0.001640271,NA
HPSI1113i-fumb_2,not_assessed,0.058484869,NA
HPSI1113i-hayt_1,not_assessed,0.521917705,NA
HPSI1113i-hayt_3,succeeded,0.895774048,0.251087386
HPSI1113i-ieki_2,not_assessed,0.997478107,NA
HPSI1113i-ieki_3,succeeded,0.973287967,0.558394161
HPSI1113i-nibo_2,not_assessed,0.041528137,NA
HPSI1113i-nibo_3,not_assessed,0.737475054,NA
HPSI1113i-oaaz_2,not_assessed,0.029386375,NA
HPSI1113i-oaaz_3,not_assessed,0.501695094,NA
HPSI1113i-podx_1,succeeded,0.949896442,0.585592988
HPSI1113i-podx_2,not_assessed,0.939354487,NA
HPSI1113i-qolg_1,succeeded,0.973276917,0.764223087
HPSI1113i-qolg_3,not_assessed,0.948059088,NA
HPSI1113i-qorq_1,succeeded,0.979784805,0.809993278
HPSI1113i-qorq_2,not_assessed,0.508792401,NA
HPSI1113i-uofv_1,failed,0.091407394,0
HPSI1113i-vuud_2,succeeded,0.980647226,0.505408914
HPSI1113i-wahn_1,not_assessed,0.94513272,NA
HPSI1113i-wahn_2,not_assessed,0.893557855,NA
HPSI1113i-waus_1,not_assessed,0.94653474,NA
HPSI1113i-wetu_2,not_assessed,0.935294955,NA
HPSI1113i-zuta_1,not_assessed,0.056798809,NA
HPSI1113i-zuta_3,not_assessed,0.61056722,NA
HPSI1114i-kuul_2,not_assessed,0.991883842,NA
HPSI1114i-qibk_2,not_assessed,0.057699514,NA
HPSI1114i-ualf_2,not_assessed,0.926676773,NA
HPSI1114i-ualf_6,succeeded,0.974026754,0.575
HPSI1114i-xiby_4,not_assessed,0.787925386,NA
HPSI1114i-xiby_5,not_assessed,0.775193228,NA
HPSI1114i-yair_2,not_assessed,0.957096177,NA
HPSI1114i-ziyn_6,not_assessed,0.976285648,NA
HPSI1114i-zuuy_4,succeeded,0.969873392,0.376068376
HPSI1114i-zuuy_5,not_assessed,0.831406925,NA
HPSI1116i-aimh_3,not_assessed,0.936140012,NA
HPSI1116i-aimh_5,not_assessed,0.545042372,NA
HPSI1116i-eiyy_1,not_assessed,0.006728624,NA
HPSI1116i-geve_3,not_assessed,3.81E-05,NA
HPSI1116i-geve_4,not_assessed,0.624311981,NA
HPSI1116i-mebq_1,not_assessed,0.938593547,NA
HPSI1116i-mebq_7,not_assessed,0.000129088,NA
HPSI1116i-naum_5,not_assessed,0.970459493,NA
HPSI1116i-peru_4,not_assessed,0.519308362,NA
HPSI1116i-rafd_1,not_assessed,0.827314188,NA
HPSI1116i-rafd_4,not_assessed,0.940421694,NA
HPSI1116i-sozw_2,not_assessed,6.31E-05,NA
HPSI1116i-uabf_6,not_assessed,5.42E-05,NA
HPSI1116i-uacs_3,not_assessed,0.885347366,NA
HPSI1116i-vozo_2,not_assessed,0.968031175,NA
HPSI1116i-vozo_3,not_assessed,0.964093233,NA
HPSI1116i-wakr_3,not_assessed,0.000562124,NA
HPSI1116i-wakr_6,not_assessed,0.991747407,NA
HPSI1116i-wiau_1,not_assessed,0.357877981,NA
HPSI1116i-wiau_4,not_assessed,0.000124882,NA
HPSI1116i-yiek_2,not_assessed,0.043103821,NA
HPSI1116i-yiek_6,not_assessed,0.867509767,NA
HPSI1116i-yuuh_2,not_assessed,0.916040726,NA
HPSI1116i-zalc_1,not_assessed,0.497807479,NA
HPSI1116i-zies_6,not_assessed,0.999288035,NA
HPSI1213i-babk_2,not_assessed,0.980534289,NA
HPSI1213i-foqj_2,not_assessed,0.001232127,NA
HPSI1213i-hehd_1,succeeded,0.984266448,0.780639404
HPSI1213i-hehd_2,not_assessed,0.604715203,NA
HPSI1213i-nekd_1,not_assessed,0.024911855,NA
HPSI1213i-pahc_4,not_assessed,0.337890365,NA
HPSI1213i-pahc_5,not_assessed,0.160334982,NA
HPSI1213i-tolg_4,succeeded,0.991276894,0.6
HPSI1213i-tolg_6,not_assessed,0.963725355,NA
HPSI1213i-xuja_2,not_assessed,0.115980836,NA